developer,title,release_date,recommend
Kotoshiro,Lost Summoner Kitty,2018-01-04,True
Secret Level SRL,Ironbound,2018-01-04,True
Poolianscom,Real Pool D  Poolians,2017-07-24,True
Trickjump Games Ltd,Battle Royale Trainer,2018-01-04,True
Poppermost Productions,SNOW  All Access Pro Pass,2018-01-04,True
Poppermost Productions,SNOW  All Access Legend Pass,2018-01-04,False
Stegalosaurus Game Development,Army of Tentacles Not A Cthulhu Dating Sim Black GOAT of the Woods Edition,2018-01-04,True
Copperpick Studio,Beach Rules,2018-01-04,True
Ghulam Jewel,Planetarium   Zen Odyssey,2018-01-03,True
Apillo,The first thrust of God,2018-01-03,True
Poppermost Productions,SNOW  Starter Pack,2018-01-03,True
Apillo,The first thrust of God  All Aircrafts,2018-01-03,True
Poppermost Productions,SNOW  Lifetime Pack,2018-01-03,False
Tero Lunkka,The Warrior Of Treasures,2018-01-03,False
FrozenPepper,RC Plane   Canyon Scenario,2017-12-22,False
FrozenPepper,RC Plane   FB,2017-12-23,False
Casey Labrack,DinoBlaster,2018-01-03,False
Stainless Games Ltd,Carmageddon Max Pack,1997-06-30,False
Valve,HalfLife,1998-11-08,False
devplay,Fallen Mage,2016-11-25,False
ETGgames,Vaporwave Simulator,2018-01-01,True
lalalaZeroUrbanoff,Bitcoin Clicker,2018-01-01,True
Strategy First,Disciples II Galleans Return,2006-07-06,True
Strategy First,Disciples II Rise of the Elves,2006-07-06,True
Outerlight Ltd,The Ship Murder Party,2006-07-11,True
Ultraint,Souland,2017-12-29,True
TPMCO SOFT WORKS,TAROTICA VOO DOO,2017-12-29,True
Wonderbox Games,Chronicles of Vinland,2017-12-29,False
Wonderbox Games,Orbitality,2017-12-29,True
Mad Unicorn Games,Atomic Adam Episode ,2017-12-30,True
GlyphX Games,Advent Rising,2005-08-09,True
Introversion Software,DEFCON,2006-09-29,True
Outerlight Ltd,The Ship Single Player,2006-11-20,True
Facepunch Studios,Garrys Mod,2006-11-29,True
SimBin,RACE  The WTCC Game,2006-11-24,False
Unknown Worlds Entertainment,Zen of Sudoku,2006-12-14,True
CINEMAX sro,Gumboy  Crazy Adventures,2006-12-19,True
Sick Puppies,Ghost Master,2003-08-23,True
Deepred,Vegas Make It Big,2006-12-21,True
Funcom,Dreamfall The Longest Journey,2006-04-17,True
Bugbear Entertainment,FlatOut ,2006-08-01,True
Bugbear Entertainment,FlatOut,2005-07-12,True
CAPCOM Co Ltd,Lost Planet Extreme Condition,2007-06-26,True
FireFly StudiosFiraxis Games,CivCity Rome,2006-07-24,True
